id,value,color
UNC-CH,
UNC-CH.Gender,
UNC-CH.Gender.Female,16827,#e9ded9
UNC-CH.Gender.Male,12642,#d5c5be
UNC-CH.Age,
UNC-CH.Age.Under 25,20873,#808080
UNC-CH.Age.25 and Over,8595,#80A0A0
UNC-CH.Attendance,
UNC-CH.Attendance.Full-Time,25084,#808080
UNC-CH.Attendance.Part-Time,4585,#80A0A0
UNC-CH.Residency,
UNC-CH.Residency.In-State,21232,#808080
UNC-CH.Residency.Out-of-State,8237,#80A0A0
UNC-CH.Enrollment,
UNC-CH.Enrollment.Undergraduate,18523,#808080
UNC-CH.Enrollment.Graduate,8427,#80A0A0
UNC-CH.Enrollment.Professional,2519,#E54F24
UNC-CH.Citizenship,
UNC-CH.Citizenship.US Citizen,27114,#808080
UNC-CH.Citizenship.Resident Alien,763,#80A0A0
UNC-CH.Citizenship.Nonresident Alien,1592,#E54F24
UNC-CH.Proximity,
UNC-CH.Proximity.On-Campus,27100,#808080
UNC-CH.Proximity.Off-Campus,2369,#80A0A0
UNC-CH.Race,
UNC-CH.Race.American Indian or Alaskan Native,129,#808080
UNC-CH.Race.Asian,3759,#80A0A0
UNC-CH.Race.Black or African-American,2342,#E54F24
UNC-CH.Race.Hispanic,2145,#FF9900
UNC-CH.Race.Native Hawaiian or Pacific Islander,43,#563B7E
UNC-CH.Race.Race/Ethnicity Unknown,1184,#D6BA33
UNC-CH.Race.Two or More Races,1610,#1169AE
UNC-CH.Race.White,18257,#F6854D
